-76,-28,-27,-73,-79,-5,-1.75802,NA,NA,NA,NA,NA,NA,NA,1.40619,-0.223129,
-64,-16,-27,-73,-79,-5,-1.53148,NA,NA,NA,NA,NA,NA,NA,1.11651,-0.393084,
-52,-4,-27,-73,-79,-5,-1.17037,NA,NA,NA,NA,NA,NA,NA,0.20254,-0.473469,
-40,8,-27,-73,-79,-5,-2.2037,NA,NA,NA,NA,NA,NA,NA,-2.19746,0.237415,
-28,20,-27,-73,-79,-5,-8.21296,NA,NA,NA,NA,NA,NA,NA,-4.43159,1.17971,
-16,32,-27,-73,-79,-5,-23.3926,NA,NA,NA,NA,NA,NA,NA,2.53397,2.67721,
-4,44,-27,-73,-79,-5,2.15247,NA,NA,NA,NA,NA,NA,NA,5.04905,-0.301927,
8,56,-27,-73,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.992857,
-76,-28,-24,-70,-79,-5,-2.76605,NA,NA,NA,NA,NA,NA,NA,1.32667,-0.444558,
-64,-16,-24,-70,-79,-5,-2.11975,NA,NA,NA,NA,NA,NA,NA,1.32746,-0.667914,
-52,-4,-24,-70,-79,-5,-1.77222,NA,NA,NA,NA,NA,NA,NA,0.818095,-0.25,
-40,8,-24,-70,-79,-5,-3.17284,NA,NA,NA,NA,NA,NA,NA,-2.24159,0.0234694,
-28,20,-24,-70,-79,-5,-108.316,NA,NA,NA,NA,NA,NA,NA,-2.58619,1.65181,
-16,32,-24,-70,-79,-5,-237.981,NA,NA,NA,NA,NA,NA,NA,3.71556,3.12608,
-4,44,-24,-70,-79,-5,4.39012,NA,NA,NA,NA,NA,NA,NA,3.65238,-1.13798,
8,56,-24,-70,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.902268,
-76,-28,-21,-67,-79,-5,-3.2216,NA,NA,NA,NA,NA,NA,NA,1.90889,-0.412132,
-64,-16,-21,-67,-79,-5,-1.75432,NA,NA,NA,NA,NA,NA,NA,1.64508,-0.972449,
-52,-4,-21,-67,-79,-5,-1.94568,NA,NA,NA,NA,NA,NA,NA,1.36317,-0.568934,
-40,8,-21,-67,-79,-5,-3.64074,NA,NA,NA,NA,NA,NA,NA,14.7914,-0.200794,
-28,20,-21,-67,-79,-5,-403.359,NA,NA,NA,NA,NA,NA,NA,21.6614,1.91893,
-16,32,-21,-67,-79,-5,-690.807,NA,NA,NA,NA,NA,NA,NA,3.30048,2.81088,
-4,44,-21,-67,-79,-5,-5.93642,NA,NA,NA,NA,NA,NA,NA,1.66746,-1.80952,
8,56,-21,-67,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.704082,
-76,-28,-18,-64,-79,-5,-3.47099,NA,NA,NA,NA,NA,NA,NA,3.48794,-0.486621,
-64,-16,-18,-64,-79,-5,-2.69074,NA,NA,NA,NA,NA,NA,NA,3.60349,-0.970408,
-52,-4,-18,-64,-79,-5,-1.57531,NA,NA,NA,NA,NA,NA,NA,4.25063,-1.05329,
-40,8,-18,-64,-79,-5,-3.80988,NA,NA,NA,NA,NA,NA,NA,221.44,-0.356122,
-28,20,-18,-64,-79,-5,-726.281,NA,NA,NA,NA,NA,NA,NA,311.314,2.14082,
-16,32,-18,-64,-79,-5,-1019.04,NA,NA,NA,NA,NA,NA,NA,3.50873,2.91508,
-4,44,-18,-64,-79,-5,-49.687,NA,NA,NA,NA,NA,NA,NA,-0.848254,-1.4059,
8,56,-18,-64,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.682426,
-76,-28,-15,-61,-79,-5,-3.3284,NA,NA,NA,NA,NA,NA,NA,2.63381,-0.73322,
-64,-16,-15,-61,-79,-5,-3.9284,NA,NA,NA,NA,NA,NA,NA,3.37825,-0.72517,
-52,-4,-15,-61,-79,-5,-0.640123,NA,NA,NA,NA,NA,NA,NA,11.801,-1.61179,
-40,8,-15,-61,-79,-5,-18.6994,NA,NA,NA,NA,NA,NA,NA,678.517,-0.906463,
-28,20,-15,-61,-79,-5,-867.062,NA,NA,NA,NA,NA,NA,NA,974.553,-1.0085,
-16,32,-15,-61,-79,-5,-1036.39,NA,NA,NA,NA,NA,NA,NA,18.8205,48.9963,
